AID,Name,Username,Password,Email
84,Bridget Rojas,justincox,6X)C4UHg@I,justincox@vt.edu
85,Aaron Reynolds,umartinez,xbE4L#L1f(,umartinez@vt.edu
86,Mark Green,gonzalezeric,2JPVi$Mn*Z,gonzalezeric@vt.edu
87,Justin Johnson,erin04,@0vyZNik32,erin04@vt.edu
88,Sylvia Wang,michael81,_fE3*0sTS7,michael81@vt.edu
89,Jerry Hernandez,robert62,(4tJkOQvFA,robert62@vt.edu
90,Shane Delgado,parrishcarlos,zj4DMy0z^O,parrishcarlos@vt.edu
91,Michael Campbell,christina73,c2VdEClo^4,christina73@vt.edu
92,Scott Day,lauren19,@dE3t^Lru9,lauren19@vt.edu
93,William French,zmclean,*36LvfjmJL,zmclean@vt.edu
94,Megan Brown,ebonypatterson,bi78JA4y@),ebonypatterson@vt.edu
95,Donald Sanchez,jeffreywilkinson,v)Z3Cnnb7*,jeffreywilkinson@vt.edu
96,Kimberly Ortiz,nmercado,(SK1votxu6,nmercado@vt.edu
97,Dennis Ward,lewiscarolyn,+157_SQeWA,lewiscarolyn@vt.edu
98,Kaitlyn Jenkins,dsmith,&N2HOlEu42,dsmith@vt.edu
99,Frank Campbell,kaylacurtis,&Zi+2#Ayss,kaylacurtis@vt.edu
100,Melissa Collier,andrea09,1LTwWCmk&8,andrea09@vt.edu
